allele	population	indivs_over_n	alleles_over_2n	n
DRB1*01:01	Algeria		0.0100	97
DRB1*01:01	Algeria Oran		0.0150	100
DRB1*01:01	Algeria pop 2	3.0	0.0151	106
DRB1*01:01	Argentina Buenos Aires	11.1	0.0560	466
DRB1*01:01	Argentina Chiriguano	1.8	0.0090	54
DRB1*01:01	Argentina Gran Chaco Eastern Toba		0.0040	135
DRB1*01:01	Argentina Gran Chaco Mataco Wichi		0	49
DRB1*01:01	Argentina Gran Chaco Western Toba Pilaga		0	19
DRB1*01:01	Argentina Mapuche		0.1050	48
DRB1*01:01	Argentina Rosario Toba	7.0	0.0350	86
DRB1*01:01	Armenia combined Regions		0.0450	100
DRB1*01:01	Australia Cape York Peninsula Aborigine		0.0100	103
DRB1*01:01	Austria	20.5	0.1210	200
DRB1*01:01	Azores Central Islands		0.0890	59
DRB1*01:01	Azores Oriental Islands		0.0640	43
DRB1*01:01	Azores Terceira Island		0.0580	130
DRB1*01:01	Belgium	17.2	0.0860	99
DRB1*01:01	Borneo Bandjarmasin		0	21
DRB1*01:01	Brazil   ParanÃ¡ Caucasian	11.4	0.0577	641
DRB1*01:01	Brazil  Puyanawa	2.0	0.0100	150
DRB1*01:01	Brazil Central Plateau Xavante		0	74
DRB1*01:01	Brazil East Amazon		0	41
DRB1*01:01	Brazil Guarani M bya		0	93
DRB1*01:01	Brazil Guarani Nandeva		0.0120	86
DRB1*01:01	Brazil Kaingang		0	235
DRB1*01:01	Brazil Mato Grosso do Sul		0.0470	203
DRB1*01:01	Brazil Mixed		0.0500	108
DRB1*01:01	Brazil North East Mixed		0.0520	205
DRB1*01:01	Brazil South Caucasian		0.0417	73
DRB1*01:01	Brazil Southeast Caucasian	11.6	0.0580	103
DRB1*01:01	Brazil Southeast Mixed Race	11.9	0.0600	42
DRB1*01:01	Brazil Terena	1.7	0.0090	60
DRB1*01:01	Brazil Vale do Ribeira Quilombos	0.0490	0	144
DRB1*01:01	Bulgaria		0.0550	55
DRB1*01:01	Cameroon		0.0040	126
DRB1*01:01	Canada British Columbia Athabaskan		0.0080	62
DRB1*01:01	Canada British Columbia Penutian		0.0190	26
DRB1*01:01	Cape Verde Northwestern Islands		0.0810	62
DRB1*01:01	Cape Verde Southeastern Islands		0.0160	62
DRB1*01:01	Central African Republic Aka Pygmy	1.2	0.0060	93
DRB1*01:01	Chile Mapuche		0.0154	66
DRB1*01:01	Chile Santiago		0.0233	920
DRB1*01:01	Chile Santiago Mixed	3.0	0.0151	70
DRB1*01:01	China Beijing and Xian		0.0260	171
DRB1*01:01	China Beijing Shijiazhuang Tianjian Han		0.0160	618
DRB1*01:01	China Canton Han		0.0040	264
DRB1*01:01	China Guizhou Province Miao		0	85
DRB1*01:01	China Harbin Korean		0.0420	201
DRB1*01:01	China Harbin Manchu		0.0350	172
DRB1*01:01	China Harbin Manchu pop 2		0.0100	50
DRB1*01:01	China Hong Kong and Singapore		0.0040	135
DRB1*01:01	China Hubei Han	4.2	0.0212	3,732
DRB1*01:01	China Jiangsu Han		0.0230	3,238
DRB1*01:01	China Jiangsu Province Han		0.0264	334
DRB1*01:01	China Lijiang Naxi		0.0370	100
DRB1*01:01	China pop1	4.9	0.0250	103
DRB1*01:01	China Urumqi Han		0.0170	59
DRB1*01:01	China Urumqi Kazak		0.0360	42
DRB1*01:01	China Urumqi Uyghur	3.5	0.0180	57
DRB1*01:01	China Wanwei, Wutou and Shanxin Islands Jing		0.0040	138
DRB1*01:01	China Wuhan	1.7	0.0080	121
DRB1*01:01	China Xinjiang Province Uyghur		0.0650	92
DRB1*01:01	China Yunnan Hani		0.0130	150
DRB1*01:01	China Yunnan Province Drung		0	70
DRB1*01:01	China Yunnan Province Han		0.0100	101
DRB1*01:01	China Yunnan Province Lahu		0.0710	70
DRB1*01:01	China Yunnan Province Yao		0.0160	66
DRB1*01:01	China Zhejiang Han pop 2		0.0150	833
DRB1*01:01	China, Xinjiang Uyghur Autonomous Region Han	2.5	0.0125	70
DRB1*01:01	China, Xinjiang Uyghur Autonomous Region Kazakh	3.0	0.0152	52
DRB1*01:01	Colombia Antioquia Paisa		0.0590	100
DRB1*01:01	Colombia Barranquilla		0.0770	188
DRB1*01:01	Colombia Bogota and Medellin Mestizo		0.0850	65
DRB1*01:01	Colombia BogotÃ¡ Cord Blood	7.9	0.0403	1,463
DRB1*01:01	Colombia North Chimila Amerindians		0.0106	47
DRB1*01:01	Colombia North Wiwa El Encanto		0.0096	52
DRB1*01:01	Colombia Northwest Choco		0.0250	20
DRB1*01:01	Colombia Providencia Island African		0.0670	30
DRB1*01:01	Colombia Sierra Nevada de Santa Marta Arhuaco		0.0080	107
DRB1*01:01	Colombia Sierra Nevada de Santa Marta Kogi		0.0150	42
DRB1*01:01	Colombia West Cauca		0.0500	20
DRB1*01:01	Congo Kinshasa Bantu	4.4	0.0220	90
DRB1*01:01	Cook Islands		0.0100	50
DRB1*01:01	Cook Islands Rarotonga		0.0060	78
DRB1*01:01	Costa Rica African -Caribbean (G)	1.0(*)	0.0050(*)	102
