allele	population	indivs_over_n	alleles_over_2n	n
2DL5A	China Tibet Lhasa KIR	36.0		102
2DL5A	China Zhejiang Province Han KIR	30.8		104
2DL5A	Comoros Mixed KIR	13.0		54
2DL5A	Equatorial Guinea Bioko Island Bubi KIR	13.5		95
2DL5A	France Southeast KIR	37.6		130
2DL5A	France Southeast KIR pop 2	37.0		38
2DL5A	Iran KIR	40.0		200
2DL5A	Iran Tehran KIR	40.0		100
2DL5A	Ireland Northern KIR pop2	37.0		154
2DL5A	Italy KIR	33.0		217
2DL5A	Italy West Sicily KIR	55.0		60
2DL5A	Portugal Azores Terceira Island KIR	30.7		127
2DL5A	Romania KIR	16.1		123
2DL5A	Russia Northwest pop 3 KIR	33.0		100
2DL5A	Saudi Arabia KIR pop 3	63.0		65
2DL5A	Scotland Orkney KIR	26.7		90
2DL5A	Slovenia KIR	43.1		130
2DL5A	Sweden Vasterbotten KIR	44.0		150
2DL5A	Thailand Bangkok KIR pop 2	29.0		100
2DL5A	Thailand North East KIR	44.3		235
2DL5A	Tunisia KIR	23.7		114
2DL5A	Uruguay Mixed KIR	47.4		41
2DL5A*001	Belgium KIR pop 2	27.0		100
2DL5A*001	Equatorial Guinea Bioko Island Bubi KIR	6.3		95
2DL5A*001	Ireland Northern KIR pop2	29.9		154
2DL5A*001	Japan KIR pop 3		0.112	132
2DL5A*001	Spain Madrid KIR	31.3		131
2DL5A*001	USA Caucasian NMDP KIR	29.7		75
2DL5A*00101	Ghana Ga-Adangbe KIR		0.014	131
2DL5A*0010101	USA African American KIR pop 2	12.0		100
2DL5A*00102	USA African American KIR pop 2	1.0		100
2DL5A*005	Equatorial Guinea Bioko Island Bubi KIR	6.3		95
2DL5A*005	Ireland Northern KIR pop2	8.4		154
2DL5A*005	Japan KIR pop 3		0.047	132
2DL5A*005	Spain Madrid KIR	13.0		131
2DL5A*0050101	USA African American KIR pop 2	2.0		100
2DL5A*0050101	USA Caucasian NMDP KIR	8.1		75
2DL5A*01201	USA African American KIR pop 2	1.0		100
2DL5A*01202	USA African American KIR pop 2	1.0		100
