allele	population	indivs_over_n	alleles_over_2n	n
2DL5B	Belgium KIR pop 2	26.0		100
2DL5B	Brazil Curitiba Japanese KIR	31.4		51
2DL5B	China Tibet Lhasa KIR	14.0		102
2DL5B	China Zhejiang Province Han KIR	5.8		104
2DL5B	Comoros Mixed KIR	35.0		54
2DL5B	Equatorial Guinea Bioko Island Bubi KIR	45.8		95
2DL5B	France Southeast KIR	32.0		130
2DL5B	France Southeast KIR pop 2	37.0		38
2DL5B	Iran KIR	35.0		200
2DL5B	Iran Tehran KIR	35.0		100
2DL5B	Ireland Northern KIR pop2	24.7		154
2DL5B	Italy KIR	28.0		217
2DL5B	Italy West Sicily KIR	25.0		60
2DL5B	Portugal Azores Terceira Island KIR	23.6		127
2DL5B	Romania KIR	23.4		123
2DL5B	Russia Northwest pop 3 KIR	32.0		100
2DL5B	Saudi Arabia KIR pop 3	52.0		65
2DL5B	Scotland Orkney KIR	21.1		90
2DL5B	Slovenia KIR	35.4		130
2DL5B	Sweden Vasterbotten KIR	38.7		150
2DL5B	Thailand Bangkok KIR pop 2	25.0		100
2DL5B	Thailand North East KIR	30.2		235
2DL5B	Tunisia KIR	36.8		114
2DL5B	Uruguay Mixed KIR	26.3		41
2DL5B*002	Equatorial Guinea Bioko Island Bubi KIR	19.8		95
2DL5B*002	Ghana Ga-Adangbe KIR		0.079	131
2DL5B*002	Ireland Northern KIR pop2	24.7		154
2DL5B*002	Japan KIR pop 3		0.026	132
2DL5B*002	Spain Madrid KIR	25.2		131
2DL5B*0020101	USA African American KIR pop 2	18.0		100
2DL5B*0020101	USA Caucasian NMDP KIR	16.2		75
2DL5B*0020102	USA Caucasian NMDP KIR	1.4		75
2DL5B*0020104	USA African American KIR pop 2	1.0		100
2DL5B*0020106	USA African American KIR pop 2	2.0		100
2DL5B*00202	USA African American KIR pop 2	1.0		100
2DL5B*003	Equatorial Guinea Bioko Island Bubi KIR	6.3		95
2DL5B*003	Ghana Ga-Adangbe KIR		0.008	131
2DL5B*003	Ireland Northern KIR pop2	0.0		154
2DL5B*003	USA African American KIR pop 2	1.0		100
2DL5B*004	Equatorial Guinea Bioko Island Bubi KIR	4.2		95
2DL5B*004	Ghana Ga-Adangbe KIR		0.003	131
2DL5B*004	Ireland Northern KIR pop2	0.0		154
2DL5B*004	USA African American KIR pop 2	3.0		100
2DL5B*006	Equatorial Guinea Bioko Island Bubi KIR	21.9		95
2DL5B*006	Ghana Ga-Adangbe KIR		0.090	131
2DL5B*006	Ireland Northern KIR pop2	0.0		154
2DL5B*00601	USA African American KIR pop 2	11.0		100
2DL5B*00603	USA African American KIR pop 2	3.0		100
2DL5B*007	Equatorial Guinea Bioko Island Bubi KIR	1.0		95
2DL5B*007	Ghana Ga-Adangbe KIR		0.003	131
2DL5B*007	Ireland Northern KIR pop2	0.0		154
2DL5B*0070102	USA African American KIR pop 2	1.0		100
2DL5B*008	Ghana Ga-Adangbe KIR		0.014	131
2DL5B*008	Ireland Northern KIR pop2	0.6		154
2DL5B*008	USA Caucasian NMDP KIR	1.4		75
2DL5B*0080101	USA African American KIR pop 2	3.0		100
2DL5B*0080102	USA African American KIR pop 2	1.0		100
2DL5B*009	USA Caucasian NMDP KIR	1.4		75
2DL5B*010	USA African American KIR pop 2	1.0		100
2DL5B*011	Ghana Ga-Adangbe KIR		0.016	131
2DL5B*01301	USA African American KIR pop 2	1.0		100
2DL5B*01302	USA African American KIR pop 2	1.0		100
2DL5B*01303	USA African American KIR pop 2	1.0		100
2DL5B*017	Ghana Ga-Adangbe KIR		0.057	131
